doctor_name,specialization,city,clinic,rating,reviews_count,experience_years,price,consultation_format,source,profile_url,price_segment
Мирзоев Ибрагим Мамедович,Стоматолог • Стоматолог-имплантолог • Стоматолог-ортодонт • Стоматолог-хирург,Алматы,Стоматологическая клиника доктора Мирзоева,5.0,0.0,18.0,,,doctor.kz,https://doctor.kz/doctors/96857351483587480,unknown
Абубахриева Мукадас Саидовна,Стоматолог • Стоматолог детский,Алматы,"Стоматологическая клиника ""DENTEX"" на Сатпаева",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/881891061481273577,unknown
Куздеубаева Гульстан Киятовна,"Офтальмолог, Окулист",Актобе (Актюбинск),"Товарищество с ограниченной ответственностью ""Клиника ""Көз Жарығы""",5.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/482575991513165921,unknown
Полушина Елена Викторовна,Дерматокосметолог • Дерматолог,Алматы,Клиника Оксаны Малицкой,0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/979500021696407591,unknown
Садуакасов Гали Алибекович,Врач УЗИ,Алматы,"Медицинский центр ""АРУ""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/139732621712060093,unknown
Скиба Нина Васильевна,"Офтальмолог, Окулист",Алматы,"ТОО ""Лазерный центр Коновалова""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/439096921605700847,unknown
Фаст Елена Владимировна,Эндокринолог,Караганда,"Клиника ""КРИСТИНА""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/553976981529649263,unknown
Мустафаев Бакытжан Рахымжанович,Стоматолог • Стоматолог-терапевт,Атырау,"ИП Исмагулов Ж ""Стоматологическая клиника ""СМАҒҰЛ ДЕНТ - ЛЕСХОЗ""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/932770601497246814,unknown
Жүсіпов Бағлан Ерболатұлы,Врач МРТ,Шымкент,"Медицинский центр ""DAUMED""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/445587671698909108,unknown
Кулгазиев Серик Байхадемович,Стоматолог • Стоматолог-имплантолог • Стоматолог-ортопед • Стоматолог-хирург,Атырау,"ИП Исмагулов Ж ""Стоматологическая клиника ""СМАҒҰЛ ДЕНТ - ЛЕСХОЗ""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/824827341496988540,unknown
Дощанова Айкерм Мжаверовна,Акушер-гинеколог • Гинеколог • Гинеколог детский • Гинеколог-эндокринолог,Астана,"Медицинский центр ""ТАЛМАС МЕДИКУС"" на Бокейханова",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/321662111481535127,unknown
Галым Айгерим Галымовна,Невропатолог детский,Алматы,"Медицинский центр ""КЕРУЕН MEDICUS""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/862695241695032123,unknown
Валиева Оксана Евгеньевна,Дерматокосметолог • Дерматолог • Косметолог,Шымкент,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/272084591701415045,unknown
Утигенова Сания Килмановна,Кардиолог,Тараз,"Медицинский центр ""МЕЙІРІМ""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/102178751484216138,unknown
Смагулова Жулдыз Султанбековна,"Офтальмолог, Окулист",Алматы,"ТОО ""Лазерный центр Коновалова""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/194867151605610067,unknown
Пилипчук Елена Сергеевна,Акушер-гинеколог,Шымкент,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/203759451701412195,unknown
Нурханова Улжан Досимхановна,"Врач функциональной диагностики • Невропатолог, Невролог",Шымкент,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/210926621701259631,unknown
Тургумбаева Гульжан Рахманбековна,Врач функциональной диагностики,Алматы,"Медицинский центр ""CARDIOS"" на Казыбек би",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/863803071508300202,unknown
Коловоротная Татьяна Владимировна,Акушер-гинеколог • Гинеколог,Шымкент,"Медицинский центр ""DAUMED""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/597616001698911920,unknown
Полухина Галина Викторовна,Врач УЗИ,Шымкент,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/267355911701265718,unknown
Узаков Азиз Дилшадович,"ЛОР, Оториноларинголог",Шымкент,"Медицинский центр ""PROFMEDSERVICE""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/30296121653482727,unknown
Рахимов Жахонгир Махмудович,"ЛОР, Оториноларинголог",Шымкент,"Медицинский центр ""PROFMEDSERVICE""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/7407351569388872,unknown
Джураев Ержан Раимкулович,"ЛОР, Оториноларинголог",Шымкент,"Медицинский центр ""PROFMEDSERVICE""",1.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/752754391653478817,unknown
Хабибуллаев Хусан Рустамбекович,"ЛОР, Оториноларинголог",Шымкент,"Медицинский центр ""PROFMEDSERVICE""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/933332671653482561,unknown
Саке Гульнара Курмановна,Стоматолог-терапевт • Стоматолог-хирург,Алматы,"Стоматологическая клиника ""КЛАССИК-АР""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/488366061695728800,unknown
Абдилдаева Рамиля Келсингазыевна,Кардиолог,Алматы,"Медицинский центр ""CARDIOS"" на Беремжанова",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/704639401517750155,unknown
Темербекова Альмира Садвакасовна,Гастроэнтеролог,Алматы,"Медицинский центр ""A CLINIC""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/231603511509700747,unknown
Быстрова Елена Валерьевна,"ЛОР, Оториноларинголог • Сурдолог",Алматы,"Медицинский центр ""ALASH EXPERT CLINIC""",5.0,1.0,,,,doctor.kz,https://doctor.kz/doctors/648387571575363955,unknown
Мамедова Динара Толешовна,Стоматолог • Стоматолог детский,Алматы,"Стоматологическая клиника ""WHITESTORY by KIDS SMILE"" на Азербаева",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/338488021619603606,unknown
Мемишев Тайфур Закирович,Врач УЗИ • Сосудистый хирург,Алматы,"Клиника ""ДОСТАР МЕД А"" в мкр Айнабулак 2, 71 Д",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/469871171693988725,unknown
Тулентаева Маржан Мауленовна,Кардиолог,Шымкент,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/137028271701331233,unknown
Ивакин Алексей Алексеевич,Дерматолог • Онколог,Алматы,Клиника Оксаны Малицкой,5.0,1.0,,,,doctor.kz,https://doctor.kz/doctors/577678421450762958,unknown
Тургунов Адхамжон Муминжанович,Акушер-гинеколог • Гинеколог,Шымкент,"Медицинский центр ""DAUMED""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/656278211482293241,unknown
Даббур Мухаммед Амин Адиб,Педиатр,Алматы,"Медицинский центр ""МЕДИ-СЕРВИС""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/201849961694077550,unknown
Ерболулы Мадияр,"Офтальмолог, Окулист",Алматы,"Товарищество с Ограниченной Ответственностью ""TESM Company""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/672089591513231690,unknown
Ирисбаев Иса Бабирович,Врач КТ • Врач МРТ,Шымкент,"Медицинский центр ""DAUMED""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/564930101698830123,unknown
Сергазин Женис Раимжанович,Хирург,Шымкент,Областная клиническая больница Туркестанской области,5.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/130589931545978200,unknown
Кудлай Сергей Павлович,Проктолог • Хирург,Талгар,"Медицинский центр ""ИНТЕРМЕДИКАЛ""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/4358621720524108,unknown
Оразбаев Данияр Жаханович,Ортопед • Травматолог,Шымкент,"Медицинский центр ""DAUMED""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/760835981698910343,unknown
Ким Диана Дмитриевна,Врач УЗИ,Алматы,"ТОО ""Центр молекулярной медицины""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/535050871695984518,unknown
Булешова Наталья Валерьевна,Акушер-гинеколог,Шымкент,"Медицинский центр ""DAUMED""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/560889431698907412,unknown
Славко Елена Алексеевна,Инфекционист,Алматы,"Медицинский центр ""A CLINIC""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/716472421439272149,unknown
Усенбаев Нуртилек Усенбаевич,"Невропатолог, Невролог • Реабилитолог",Бишкек,"Клиника ранней реабилитации ""STIMUL"" калыбына келтируу клиникасы",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/90309601681986648,unknown
Атаханова Зарина Юсупжановна,Врач УЗИ,Шымкент,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/788083421701333406,unknown
