doctor_name,specialization,city,clinic,rating,reviews_count,experience_years,price,consultation_format,source,profile_url
Ирина Волкова Владимировна,Психолог,Алматы,"Психологический центр ""ПсихоТерапия Семьи""",4,22,27,20000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1118-volkova-irina-vladimirovna
Ирина Волкова Владимировна,Психолог,Алматы,"Психологический центр ""ПсихоТерапия Семьи""",4,22,27,20000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1118-volkova-irina-vladimirovna#review
Кенжебаева Камила Сейткамаловна,Детский офтальмолог,Алматы,A CLINIC - Многопрофильный медицинский центр,5,5,35,20000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1224596-kenzhebaeva-kamila-seytkamalovna
Кенжебаева Камила Сейткамаловна,Детский офтальмолог,Алматы,A CLINIC - Многопрофильный медицинский центр,5,5,35,20000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1224596-kenzhebaeva-kamila-seytkamalovna#review
Стадольник Венера Ринатовна,Психолог,Алматы,Совершенство,5,1,8,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1224616-stadolnik-venera-rinatovna
Стадольник Венера Ринатовна,Психолог,Алматы,Совершенство,5,1,8,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1224616-stadolnik-venera-rinatovna#review
Мекишева Асия Асылбековна,Офтальмолог (окулист),Алматы,Medical Park - Медицинский центр,5,19,36,13200,,idoctor.kz,https://idoctor.kz/almaty/doctor/1224642-mekisheva-asiya-asylbekovna
Мекишева Асия Асылбековна,Офтальмолог (окулист),Алматы,Medical Park - Медицинский центр,5,19,36,13200,,idoctor.kz,https://idoctor.kz/almaty/doctor/1224642-mekisheva-asiya-asylbekovna#review
Сагандыкова Алия Ниязовна,Офтальмолог (окулист),Алматы,АЛЬТА - Медицинский центр на Жандосова,5,5,28,16000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1224716-sagandykova-aliya-niyazovna
Сагандыкова Алия Ниязовна,Офтальмолог (окулист),Алматы,АЛЬТА - Медицинский центр на Жандосова,5,5,28,16000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1224716-sagandykova-aliya-niyazovna#review
Андреева Наталья Владимировна,Оптометрист,Алматы,Visiomed - Офтальмологическая клиника на Каримова,,,,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/1224913-andreeva-natalya-vladimirovna
Андреева Наталья Владимировна,Оптометрист,Алматы,Visiomed - Офтальмологическая клиника на Каримова,,,,0,,idoctor.kz,https://idoctor.kz/almaty/doctor/1224913-andreeva-natalya-vladimirovna#review
Берешева Гульнара Саматовна,Психолог,Алматы,Абсолют - Центр психологической помощи,5,135,19,33000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1224925-beresheva-gulnara-samatovna
Берешева Гульнара Саматовна,Психолог,Алматы,Абсолют - Центр психологической помощи,5,135,19,33000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1224925-beresheva-gulnara-samatovna#review
