doctor_name,specialization,city,clinic,rating,reviews_count,experience_years,price,consultation_format,source,profile_url
Муталиева Айша Алимжановна,Муталиева Айша Алимжановна,,,,,10,10800,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1054-aisa-mutalieva
Муталиева Айша Алимжановна,Генетик,,,,,10,10800,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1054-aisa-mutalieva/genetik
Шагамбаева Жадыра Базарбайкызы,Шагамбаева Жадыра Базарбайкызы,,,,,,16500,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1133-zadyra-sagambaeva
Шагамбаева Жадыра Базарбайкызы,Эндокринолог,,,,,,16500,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1133-zadyra-sagambaeva/endokrinolog
Елибаева Лайла Рахатовна,Елибаева Лайла Рахатовна,,,,,16,5200,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1139-laila-elibaeva
Елибаева Лайла Рахатовна,Акушер-гинеколог,,,,,16,5200,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1139-laila-elibaeva/akuser-ginekolog
Қуанышбек Гулнұр Саятқызы,Қуанышбек Гулнұр Саятқызы,,,,,12,5100,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1152-gulnur-quanysbek
Елубаева Асель Канатовна,Акушер-гинеколог,,,,,,4500,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1198-asel-elubaeva/akuser-ginekolog
Кисыкова Еркежан Багланкызы,Акушер-гинеколог,,,,,,5000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1206-erkezan-kisykova/akuser-ginekolog
Кабакова Айнагуль Жетигариевна,Кабакова Айнагуль Жетигариевна,,,,,37,12700,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1209-ainagul-kabakova
Матуова Бахыт Толеухановна,Матуова Бахыт Толеухановна,,,,,,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1354-baxyt-matuova
Матуова Бахыт Толеухановна,Фтизиатр,,,,,,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1354-baxyt-matuova/ftiziatr
Анетбекова Галия Асеновна,Акушер-гинеколог,,,,,27,7600,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1396-galiya-anetbekova/akuser-ginekolog
Анетбекова Галия Асеновна,Акушер-гинеколог детский,,,,,27,7600,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1396-galiya-anetbekova/akuser-ginekolog-detskii
Фазлыева Альфия Рашитовна,Дерматовенеролог,,,,,,8900,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1409-alfiya-fazlyeva/dermatovenerolog
Абдураимова Лола Махмуджоновна,Абдураимова Лола Махмуджоновна,,,,,16,10000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1472-lola-abduraimova
Абдураимова Лола Махмуджоновна,Детский гастроэнтеролог,,,,,16,10000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1472-lola-abduraimova/detskii-gastroenterolog
Ибрайханова Улпан Манарбековна,Эндокринолог,,,,,5,10000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/1522-ulpan-ibraixanova/endokrinolog
Бекбасова Асель Женгисовна,Бекбасова Асель Женгисовна,,,,,25,7600,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/222-asel-bekbasova
Елшыбаева Айгуль Сериковна,Елшыбаева Айгуль Сериковна,,,,,,7600,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/230-aigul-elsybaeva
Нетесова Ирина Александровна,Нетесова Ирина Александровна,,,,,8,7000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/248-irina-netesova
Нетесова Ирина Александровна,Дерматокосметология,,,,,8,7000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/248-irina-netesova/dermatokosmetologiya
Нетесова Ирина Александровна,Дерматолог,,,,,8,7000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/248-irina-netesova/dermatolog
Гурина Лидия Евгеньевна,Диетолог,,,,,10,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/268-lidiya-gurina/dietolog
БЕЛЯЛОВА НАДИРА ТУРСУНЖАНОВНА,БЕЛЯЛОВА НАДИРА ТУРСУНЖАНОВНА,,,,,10,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/648-nadira-belyalova
БЕЛЯЛОВА НАДИРА ТУРСУНЖАНОВНА,Гематолог детский,,,,,10,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/648-nadira-belyalova/gematolog-detskii
Дунь Анастасия Павловна,Дерматолог,,,,,8,12700,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/700-anastasiya-dun/dermatolog
Дунь Анастасия Павловна,Дерматовенеролог,,,,,8,12700,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/700-anastasiya-dun/dermatovenerolog
Нуркенова Бота Балабековна,Нуркенова Бота Балабековна,,,,,,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/706-bota-nurkenova
Нуркенова Бота Балабековна,Гастроэнтеролог,,,,,,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/706-bota-nurkenova/gastroenterolog
Рустемова Гульдана Берикболовна,Рустемова Гульдана Берикболовна,,,,,18,5100,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/733-guldana-rustemova
Рустемова Гульдана Берикболовна,Акушер-гинеколог,,,,,18,5100,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/733-guldana-rustemova/akuser-ginekolog
Байдильдаева Мадина Бакытовна,Байдильдаева Мадина Бакытовна,,,,,14,5700,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/74-madina-baidildaeva
Байдильдаева Мадина Бакытовна,Аллерголог-иммунолог,,,,,14,5700,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/74-madina-baidildaeva/allergolog-immunolog
Мусина Динара Асатовна,Эндокринолог,,,,,,3800,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/772-dinara-musina/endokrinolog
Бигазиева Зарина Койчибаевна,Бигазиева Зарина Койчибаевна,,,,,15,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/860-zarina-bigazieva
Корольков Александр Александрович,Корольков Александр Александрович,,,,,7,8300,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/971-aleksandr-korolkov
Ахаш Улбосын Мухаметкаликызы,Ахаш Улбосын Мухаметкаликызы,,,,,8,8800,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/983-ulbosyn-axas
Ахаш Улбосын Мухаметкаликызы,Детский аритмолог,,,,,8,8800,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/983-ulbosyn-axas/detskii-aritmolog
АБАЙДИЛЬДАЕВА КАМИЛА МУРАТКЫЗЫ,Акушер-гинеколог,,,,,,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/abaidildaeva-kamila-muratkyzy/akuser-ginekolog
Абдакимова Гульжан Кадирбаевна,Акушер-гинеколог,,,,,11,5700,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/abdakimova-gulzan-kadirbaevna/akuser-ginekolog
Әбдазімова Әсел Тұрлыбекқызы,Әбдазімова Әсел Тұрлыбекқызы,,,,,,4100,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/abdazimova-asel-turlybekqyzy
Әбдазімова Әсел Тұрлыбекқызы,Акушер-гинеколог,,,,,,4100,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/abdazimova-asel-turlybekqyzy/akuser-ginekolog
АБДРАХМАНОВ НУРЛАН СЕРИКОВИЧ,АБДРАХМАНОВ НУРЛАН СЕРИКОВИЧ,,,,,16,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/abdraxmanov-nurlan-serikovic
Абдугафарова Айнура Эдуардовна,Акушер-гинеколог детский,,,,,5,7600,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/abdugafarova-ainura-eduardovna/akuser-ginekolog-detskii
Абиев Муратбек Ауелбекович,Абиев Муратбек Ауелбекович,,,,,25,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/abiev-muratbek-auelbekovic
Абилбакиева Айгерим Беделхановна,Эндокринолог,,,,,10,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/abilbakieva-aigerim-bedelxanovna/endokrinolog
Абилбекова Айнур Канатовна,Абилбекова Айнур Канатовна,,,,,,2600,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/abilbekova-ainur-kanatovna
Абилбекова Айнур Канатовна,Акушер-гинеколог,,,,,,2600,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/abilbekova-ainur-kanatovna/akuser-ginekolog
Абилова Айгерим Султанбековна,Генетик,,,,,6,12000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/abilova-aigerim-sultanbekovna/genetik
Абсадыкова Эльмира Сериковна,Эндокринолог,,,,,10,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/absadykova-elmira-serikovna/endokrinolog
Абылкасымова Арна Дулатовна,Абылкасымова Арна Дулатовна,,,,,5,5700,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/abylkasymova-arna-dulatovna
Абжанова Дамиля Кизатовна,Абжанова Дамиля Кизатовна,,,,,6,5100,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/abzanova-damilya-kizatovna_1
Абжанова Дамиля Кизатовна,Акушер-гинеколог,,,,,6,5100,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/abzanova-damilya-kizatovna_1/akuser-ginekolog
Агайдарова Ботагоз Садыковна,Агайдарова Ботагоз Садыковна,,,,,37,9300,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/agaidarova-botagoz-sadykovna
Агайдарова Ботагоз Садыковна,Гастроэнтеролог,,,,,37,9300,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/agaidarova-botagoz-sadykovna/gastroenterolog
Агламова Асель Бегалиевна,Агламова Асель Бегалиевна,,,,,17,6000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/aglamova-asel-begalievna
Агламова Асель Бегалиевна,Акушер-гинеколог,,,,,17,6000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/aglamova-asel-begalievna/akuser-ginekolog
Айдаркулова Жибек Абдиманаповна,Акушер-гинеколог,,,,,19,9500,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/aidarkulova-zibek-abdimanapovna/akuser-ginekolog
Айқынқызы Батима Айқынқызы,Айқынқызы Батима Айқынқызы,,,,,,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/aiqynqyzy-batima-aiqynqyzy
Айтбек Меруерт Токтарбековна,Аллерголог-иммунолог,,,,,19,8900,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/aitbek-meruert-toktarbekovna/allergolog-immunolog
Айтбек Меруерт Токтарбековна,Дерматокосметология,,,,,19,8900,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/aitbek-meruert-toktarbekovna/dermatokosmetologiya
Айтбек Меруерт Токтарбековна,Дерматовенеролог,,,,,19,8900,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/aitbek-meruert-toktarbekovna/dermatovenerolog
Айткулова Мадина Тойлыбаевна,Акушер-гинеколог,,,,,7,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/aitkulova-madina-toilybaevna/akuser-ginekolog
Аканова Сымбат Нурлановна,Аканова Сымбат Нурлановна,,,,,5,3800,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/akanova-symbat-nurlanovna
Аканова Сымбат Нурлановна,Аллерголог-иммунолог,,,,,5,3800,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/akanova-symbat-nurlanovna/allergolog-immunolog
Акшалова Асель Талгатбековна,Акушер-гинеколог,,,,,16,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/aksalova-asel-talgatbekovna/akuser-ginekolog
Алтай Мадияр Мұхтарұлы,Ангиохирург,,,,,,8900,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/altai-madiyar-muxtaruly/angioxirurg
Алтай Мадияр Мұхтарұлы,Флеболог,,,,,,8900,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/altai-madiyar-muxtaruly/flebolog
Аманжолова Меруерт Ельтаевна,Акушер-гинеколог,,,,,10,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/amanzolova-meruert-eltaevna/akuser-ginekolog
Амерхамзина Замзагуль Кубековна,Акушер-гинеколог,,,,,8,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/amerxamzina-zamzagul-kubekovna/akuser-ginekolog
Амиров Рустем Болатбекович,Дерматовенеролог,,,,,15,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/amirov-rustem-bolatbekovic/dermatovenerolog
Анартаева Гайни Жанбулатовна,Акушер-гинеколог,,,,,11,5100,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/anartaeva-gaini-zanbulatovna/akuser-ginekolog
