doctor_name,specialization,experience_years,clinic,city,rating,reviews_count,profile_url
Мирзоев Ибрагим Мамедович,Стоматолог • Стоматолог-имплантолог • Стоматолог-ортодонт • Стоматолог-хирург,18,Стоматологическая клиника доктора Мирзоева,Алматы,5,0,https://doctor.kz/doctors/96857351483587480
Абубахриева Мукадас Саидовна,Стоматолог • Стоматолог детский,,"Стоматологическая клиника ""DENTEX"" на Сатпаева",Алматы,0,0,https://doctor.kz/doctors/881891061481273577
Куздеубаева Гульстан Киятовна,Офтальмолог/ Окулист,,"Товарищество с ограниченной ответственностью ""Клиника ""Көз Жарығы""",Актобе (Актюбинск),5,0,https://doctor.kz/doctors/482575991513165921
Полушина Елена Викторовна,Дерматокосметолог • Дерматолог,,Клиника Оксаны Малицкой,Алматы,0,0,https://doctor.kz/doctors/979500021696407591
Садуакасов Гали Алибекович,Врач УЗИ,,"Медицинский центр ""АРУ""",Алматы,0,0,https://doctor.kz/doctors/139732621712060093
Скиба Нина Васильевна,Офтальмолог/ Окулист,,"ТОО ""Лазерный центр Коновалова""",Алматы,0,0,https://doctor.kz/doctors/439096921605700847
Фаст Елена Владимировна,Эндокринолог,,"Клиника ""КРИСТИНА""",Караганда,0,0,https://doctor.kz/doctors/553976981529649263
Мустафаев Бакытжан Рахымжанович,Стоматолог • Стоматолог-терапевт,,"ИП Исмагулов Ж ""Стоматологическая клиника ""СМАҒҰЛ ДЕНТ - ЛЕСХОЗ""",Атырау,0,0,https://doctor.kz/doctors/932770601497246814
Жүсіпов Бағлан Ерболатұлы,Врач МРТ,,"Медицинский центр ""DAUMED""",Шымкент,0,0,https://doctor.kz/doctors/445587671698909108
Кулгазиев Серик Байхадемович,Стоматолог • Стоматолог-имплантолог • Стоматолог-ортопед • Стоматолог-хирург,,"ИП Исмагулов Ж ""Стоматологическая клиника ""СМАҒҰЛ ДЕНТ - ЛЕСХОЗ""",Атырау,0,0,https://doctor.kz/doctors/824827341496988540
Дощанова Айкерм Мжаверовна,Акушер-гинеколог • Гинеколог • Гинеколог детский • Гинеколог-эндокринолог,,"Медицинский центр ""ТАЛМАС МЕДИКУС"" на Бокейханова",Астана,0,0,https://doctor.kz/doctors/321662111481535127
Галым Айгерим Галымовна,Невропатолог детский,,"Медицинский центр ""КЕРУЕН MEDICUS""",Алматы,0,0,https://doctor.kz/doctors/862695241695032123
Валиева Оксана Евгеньевна,Дерматокосметолог • Дерматолог • Косметолог,,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",Шымкент,0,0,https://doctor.kz/doctors/272084591701415045
Утигенова Сания Килмановна,Кардиолог,,"Медицинский центр ""МЕЙІРІМ""",Тараз,0,0,https://doctor.kz/doctors/102178751484216138
Смагулова Жулдыз Султанбековна,Офтальмолог/ Окулист,,"ТОО ""Лазерный центр Коновалова""",Алматы,0,0,https://doctor.kz/doctors/194867151605610067
Пилипчук Елена Сергеевна,Акушер-гинеколог,,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",Шымкент,0,0,https://doctor.kz/doctors/203759451701412195
Нурханова Улжан Досимхановна,Врач функциональной диагностики • Невропатолог/ Невролог,,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",Шымкент,0,0,https://doctor.kz/doctors/210926621701259631
Тургумбаева Гульжан Рахманбековна,Врач функциональной диагностики,,"Медицинский центр ""CARDIOS"" на Казыбек би",Алматы,0,0,https://doctor.kz/doctors/863803071508300202
Коловоротная Татьяна Владимировна,Акушер-гинеколог • Гинеколог,,"Медицинский центр ""DAUMED""",Шымкент,0,0,https://doctor.kz/doctors/597616001698911920
